,MAE,RMSE,MAPE
xgboost,734.4741586538462,1529.1993239306807,4.362633791380409
lstm,22803.857721418142,22803.857721418142,99.99937608059174
ensemble,10962.729522235577,10988.448033242343,48.89552344888883
