,MAE,RMSE,MAPE
xgboost,66.23287258593518,72.99262108494005,7.032926579549131
lstm,1001.1752728223801,1001.1752728223801,99.81807306304886
ensemble,444.6248320567075,445.77593971148116,46.421875324886
