ClosingTime,tx_count,hour,day_of_week,month,quarter,year,is_weekend,tx_count_lag_1,tx_count_lag_2,tx_count_lag_3,tx_count_lag_7,tx_count_lag_14,tx_count_lag_30,tx_count_rolling_mean_7,tx_count_rolling_std_7,tx_count_rolling_min_7,tx_count_rolling_max_7,tx_count_rolling_mean_14,tx_count_rolling_std_14,tx_count_rolling_min_14,tx_count_rolling_max_14,tx_count_rolling_mean_30,tx_count_rolling_std_30,tx_count_rolling_min_30,tx_count_rolling_max_30,tx_count_rolling_mean_90,tx_count_rolling_std_90,tx_count_rolling_min_90,tx_count_rolling_max_90
1989-04-26,23299,0,2,4,2,1989,0,23708.0,23389.0,23513.0,23999.0,23726.0,23780.0,23654.714285714286,291.84168898322093,23299.0,24038.0,23773.64285714286,258.1852665589956,23299.0,24100.0,23621.2,344.8199330185296,23018.0,24246.0,,,,
1989-04-27,23565,0,3,4,2,1989,0,23299.0,23708.0,23389.0,23605.0,23925.0,24246.0,23649.0,293.3649604162156,23299.0,24038.0,23747.928571428572,259.87288735538567,23299.0,24100.0,23598.5,324.0608446487924,23018.0,24203.0,,,,
1989-04-28,23792,0,4,4,2,1989,0,23565.0,23299.0,23708.0,24038.0,23752.0,24203.0,23613.85714285714,250.61951810892788,23299.0,24031.0,23750.785714285714,260.1408430865204,23299.0,24100.0,23584.8,305.796799784802,23018.0,24100.0,,,,
1989-04-29,23431,0,5,4,2,1989,1,23792.0,23565.0,23299.0,24031.0,23761.0,23253.0,23528.14285714286,175.5281825153793,23299.0,23792.0,23727.214285714286,273.7393984098115,23299.0,24100.0,23590.733333333334,300.82334526674794,23018.0,24100.0,,,,
1989-04-30,23588,0,6,4,2,1989,1,23431.0,23792.0,23565.0,23513.0,24100.0,23153.0,23538.85714285714,176.7346679549663,23299.0,23792.0,23690.64285714286,253.5621929907783,23299.0,24038.0,23605.233333333334,289.2579904816417,23018.0,24100.0,,,,
1989-05-01,23868,0,0,5,2,1989,0,23588.0,23431.0,23792.0,23389.0,24032.0,23726.0,23607.285714285714,200.21298183496123,23299.0,23868.0,23678.928571428572,240.00463594425048,23299.0,24038.0,23609.966666666667,292.4465743526176,23018.0,24100.0,,,,
1989-05-02,24068,0,1,5,2,1989,0,23868.0,23588.0,23431.0,23708.0,23679.0,23277.0,23658.714285714286,265.8669556286483,23299.0,24068.0,23706.714285714286,261.5628850910426,23299.0,24068.0,23636.333333333332,297.0136805549347,23018.0,24100.0,,,,
1989-05-03,23610,0,2,5,2,1989,0,24068.0,23868.0,23588.0,23299.0,23999.0,23152.0,23703.14285714286,217.28355404206192,23431.0,24068.0,23678.928571428572,248.45846713307398,23299.0,24068.0,23651.6,282.6853496319882,23018.0,24100.0,,,,
1989-05-04,23852,0,3,5,2,1989,0,23610.0,24068.0,23868.0,23565.0,23605.0,23128.0,23744.14285714286,213.9239962942027,23431.0,24068.0,23696.571428571428,251.55538135789675,23299.0,24068.0,23675.733333333334,266.9075693469954,23018.0,24100.0,,,,
1989-05-05,24315,0,4,5,2,1989,0,23852.0,23610.0,24068.0,23792.0,24038.0,23018.0,23818.85714285714,305.25750254030936,23431.0,24315.0,23716.35714285714,288.636211583664,23299.0,24315.0,23718.966666666667,261.6871629720837,23299.0,24315.0,,,,
1989-05-06,24052,0,5,5,2,1989,1,24315.0,23852.0,23610.0,23431.0,24031.0,23436.0,23907.571428571428,260.74371653845833,23588.0,24315.0,23717.85714285714,290.44603818766086,23299.0,24315.0,23739.5,262.88305384716386,23299.0,24315.0,,,,
1989-05-07,24153,0,6,5,2,1989,1,24052.0,24315.0,23852.0,23588.0,23513.0,23686.0,23988.285714285714,231.09501241243902,23610.0,24315.0,23763.571428571428,305.6885580218888,23299.0,24315.0,23755.066666666666,273.22895960682416,23299.0,24315.0,,,,
1989-05-08,24401,0,0,5,2,1989,0,24153.0,24052.0,24315.0,23868.0,23389.0,23456.0,24064.428571428572,269.4778018952301,23610.0,24401.0,23835.85714285714,329.0604006147727,23299.0,24401.0,23786.566666666666,291.4286667713124,23299.0,24401.0,,,,
1989-05-09,24272,0,1,5,2,1989,0,24401.0,24153.0,24052.0,24068.0,23708.0,23336.0,24093.571428571428,280.7245726940986,23610.0,24401.0,23876.14285714286,346.27709161281786,23299.0,24401.0,23817.766666666666,291.6316386191529,23299.0,24401.0,,,,
1989-05-10,24057,0,2,5,2,1989,0,24272.0,24401.0,24153.0,23610.0,23299.0,23628.0,24157.428571428572,187.87838011405876,23852.0,24401.0,23930.285714285714,306.01368209016636,23431.0,24401.0,23832.066666666666,292.5221987843382,23299.0,24401.0,,,,
1989-05-11,23696,0,3,5,2,1989,0,24057.0,24272.0,24401.0,23852.0,23565.0,23381.0,24135.14285714286,233.7886713618531,23696.0,24401.0,23939.64285714286,295.81792922802197,23431.0,24401.0,23842.566666666666,281.20757866541516,23299.0,24401.0,,,,
1989-05-12,23783,0,4,5,2,1989,0,23696.0,24057.0,24272.0,24315.0,23792.0,23726.0,24059.14285714286,251.38511529220696,23696.0,24401.0,23939.0,296.173026351944,23431.0,24401.0,23844.466666666667,280.5847014943239,23299.0,24401.0,,,,
1989-05-13,23526,0,5,5,2,1989,1,23783.0,23696.0,24057.0,24052.0,23431.0,23925.0,23984.0,322.44689485247324,23526.0,24401.0,23945.785714285714,284.4969050991536,23526.0,24401.0,23831.166666666668,286.0391923150472,23299.0,24401.0,,,,
1989-05-14,23119,0,6,5,2,1989,1,23526.0,23783.0,23696.0,24153.0,23588.0,23752.0,23836.285714285714,445.48838903153296,23119.0,24401.0,23912.285714285714,349.95085997267086,23119.0,24401.0,23810.066666666666,314.05533592506015,23119.0,24401.0,,,,
1989-05-15,23187,0,0,5,2,1989,0,23119.0,23526.0,23783.0,24401.0,23868.0,23761.0,23662.85714285714,424.8307225909547,23119.0,24272.0,23863.64285714286,400.28885861297414,23119.0,24401.0,23790.933333333334,333.9994769078624,23119.0,24401.0,,,,
1989-05-16,22834,0,1,5,2,1989,0,23187.0,23119.0,23526.0,24272.0,24068.0,24100.0,23457.428571428572,428.8414070270807,22834.0,24057.0,23775.5,479.79478786408794,22834.0,24401.0,23748.733333333334,371.47830802530683,22834.0,24401.0,,,,
1989-05-17,23414,0,2,5,2,1989,0,22834.0,23187.0,23119.0,24057.0,23610.0,24032.0,23365.571428571428,338.32078325306617,22834.0,23783.0,23761.5,487.7883762452797,22834.0,24401.0,23728.133333333335,372.36260908379194,22834.0,24401.0,,,,
1989-05-18,23196,0,3,5,2,1989,0,23414.0,22834.0,23187.0,23696.0,23852.0,23679.0,23294.14285714286,308.38905545402696,22834.0,23783.0,23714.64285714286,509.4528901211117,22834.0,24401.0,23712.033333333333,384.7945697635953,22834.0,24401.0,,,,
1989-05-19,23474,0,4,5,2,1989,0,23196.0,23414.0,22834.0,23783.0,24315.0,23999.0,23250.0,241.64367706746427,22834.0,23526.0,23654.571428571428,482.0636271897587,22834.0,24401.0,23694.533333333333,383.22863737690164,22834.0,24401.0,,,,
1989-05-20,23523,0,5,5,2,1989,1,23474.0,23196.0,23414.0,23526.0,24052.0,23605.0,23249.571428571428,241.0745784627042,22834.0,23523.0,23616.785714285714,469.07292832556226,22834.0,24401.0,23691.8,384.18048919208746,22834.0,24401.0,,,,
1989-05-21,23351,0,6,5,2,1989,1,23523.0,23474.0,23196.0,23119.0,24153.0,24038.0,23282.714285714286,236.02663287982668,22834.0,23523.0,23559.5,447.00331267057453,22834.0,24401.0,23668.9,383.30696710924985,22834.0,24401.0,,,,
1989-05-22,23175,0,0,5,2,1989,0,23351.0,23523.0,23474.0,23187.0,24401.0,24031.0,23281.0,236.87971631192312,22834.0,23523.0,23471.928571428572,385.29817909405267,22834.0,24272.0,23640.366666666665,387.2626733380425,22834.0,24401.0,,,,
1989-05-23,23294,0,1,5,2,1989,0,23175.0,23351.0,23523.0,22834.0,24272.0,23513.0,23346.714285714286,133.41878214324169,23175.0,23523.0,23402.071428571428,310.4754330144345,22834.0,24057.0,23633.066666666666,391.78406555524447,22834.0,24401.0,,,,
1989-05-24,23245,0,2,5,2,1989,0,23294.0,23175.0,23351.0,23414.0,24057.0,23389.0,23322.571428571428,134.50013276685306,23175.0,23523.0,23344.071428571428,248.3451271875668,22834.0,23783.0,23628.266666666666,395.7395463000313,22834.0,24401.0,,,,
1989-05-25,23312,0,3,5,2,1989,0,23245.0,23294.0,23175.0,23196.0,23696.0,23708.0,23339.14285714286,122.95721284451321,23175.0,23523.0,23316.64285714286,226.75320611520178,22834.0,23783.0,23615.066666666666,399.5740778355973,22834.0,24401.0,,,,
1989-05-26,23039,0,4,5,2,1989,0,23312.0,23245.0,23294.0,23474.0,23783.0,23299.0,23277.0,150.3207681371757,23039.0,23523.0,23263.5,193.84361262072466,22834.0,23526.0,23606.4,409.3655814920834,22834.0,24401.0,,,,
1989-05-27,22750,0,5,5,2,1989,1,23039.0,23312.0,23245.0,23523.0,23526.0,23565.0,23166.571428571428,211.11991627423717,22750.0,23351.0,23208.071428571428,221.92218465931748,22750.0,23523.0,23579.233333333334,438.23278991983864,22750.0,24401.0,,,,
1989-05-28,22649,0,6,5,2,1989,1,22750.0,23039.0,23312.0,23351.0,23119.0,23792.0,23066.285714285714,267.98489651831267,22649.0,23312.0,23174.5,267.3360748628692,22649.0,23523.0,23541.133333333335,467.7866986162643,22649.0,24401.0,,,,
1989-05-29,22713,0,0,5,2,1989,0,22649.0,22750.0,23039.0,23175.0,23187.0,23431.0,23000.285714285714,292.5165034009763,22649.0,23312.0,23140.64285714286,294.28782539519585,22649.0,23523.0,23517.2,491.3878586068353,22649.0,24401.0,,,,
1989-05-30,22866,0,1,5,2,1989,0,22713.0,22649.0,22750.0,23294.0,22834.0,23588.0,22939.14285714286,264.2570898270104,22649.0,23312.0,23142.928571428572,291.83701043450566,22649.0,23523.0,23493.133333333335,505.28487924675335,22649.0,24401.0,,,,
1989-05-31,22804,0,2,5,2,1989,0,22866.0,22713.0,22649.0,23245.0,23414.0,23868.0,22876.14285714286,229.4641791736633,22649.0,23312.0,23099.35714285714,293.7829149200319,22649.0,23523.0,23457.666666666668,515.3075635554695,22649.0,24401.0,23414.566666666666,2007.955486827,4967.0,24422.0
1989-06-01,23174,0,3,6,2,1989,0,22804.0,22866.0,22713.0,23312.0,23196.0,24068.0,22856.428571428572,187.9493346117157,22649.0,23174.0,23097.785714285714,293.2846290319069,22649.0,23523.0,23427.866666666665,504.53233609048493,22649.0,24401.0,23616.866666666665,409.16009338946344,22649.0,24422.0
1989-06-02,23203,0,4,6,2,1989,0,23174.0,22804.0,22866.0,23039.0,23474.0,23610.0,22879.85714285714,221.69305249340337,22649.0,23203.0,23078.428571428572,274.91165414079364,22649.0,23523.0,23414.3,504.9378350266313,22649.0,24401.0,23614.244444444445,411.06461700177266,22649.0,24422.0
1989-06-03,23157,0,5,6,2,1989,1,23203.0,23174.0,22804.0,22750.0,23523.0,23852.0,22938.0,234.93545212823446,22649.0,23203.0,23052.285714285714,245.17730744896008,22649.0,23351.0,23391.133333333335,500.08362978766974,22649.0,24401.0,23607.0,413.3327956985782,22649.0,24422.0
1989-06-04,23083,0,6,6,2,1989,1,23157.0,23203.0,23174.0,22649.0,23351.0,24315.0,23000.0,200.73365437820647,22713.0,23203.0,23033.14285714286,230.05646702926612,22649.0,23312.0,23350.066666666666,471.3607545389642,22649.0,24401.0,23600.533333333333,416.95208142213386,22649.0,24422.0
1989-06-05,22908,0,0,6,2,1989,0,23083.0,23157.0,23203.0,22713.0,23175.0,24052.0,23027.85714285714,164.5331056571021,22804.0,23203.0,23014.071428571428,228.45348433653655,22649.0,23312.0,23311.933333333334,458.7214565644872,22649.0,24401.0,23589.433333333334,421.9691146373959,22649.0,24422.0
1989-06-06,22897,0,1,6,2,1989,0,22908.0,23083.0,23157.0,22866.0,23294.0,24153.0,23032.285714285714,159.79957685154525,22804.0,23203.0,22985.714285714286,215.29422750183946,22649.0,23312.0,23270.066666666666,436.06895479193867,22649.0,24401.0,23578.588888888888,427.10977707483056,22649.0,24422.0
1989-06-07,23023,0,2,6,2,1989,0,22897.0,22908.0,23083.0,22804.0,23245.0,24401.0,23063.571428571428,125.38986820172575,22897.0,23203.0,22969.85714285714,202.5247780255419,22649.0,23312.0,23224.133333333335,382.0662276344909,22649.0,24272.0,23569.18888888889,429.9466100757256,22649.0,24422.0
1989-06-08,23176,0,3,6,2,1989,0,23023.0,22897.0,22908.0,23174.0,23312.0,24272.0,23063.85714285714,125.68535922627039,22897.0,23203.0,22960.14285714286,187.5599830794309,22649.0,23203.0,23187.6,326.8193215914824,22649.0,24057.0,23561.31111111111,430.5899961900866,22649.0,24422.0
1989-06-09,22952,0,4,6,2,1989,0,23176.0,23023.0,22897.0,23203.0,23039.0,24057.0,23028.0,114.69670149294431,22897.0,23176.0,22953.928571428572,186.18248462845992,22649.0,23203.0,23150.766666666666,285.0568828089939,22649.0,23783.0,23549.911111111112,433.00911178218234,22649.0,24422.0
1989-06-10,23359,0,5,6,2,1989,1,22952.0,23176.0,23023.0,23157.0,22750.0,23696.0,23056.85714285714,166.34445043494327,22897.0,23359.0,22997.428571428572,205.05823348719372,22649.0,23359.0,23139.533333333333,269.01874480688144,22649.0,23783.0,23545.033333333333,432.65551727582994,22649.0,24422.0
1989-06-11,23100,0,6,6,2,1989,1,23359.0,22952.0,23176.0,23083.0,22649.0,23783.0,23059.285714285714,166.91286577712273,22897.0,23359.0,23029.64285714286,180.00538758728607,22713.0,23359.0,23116.766666666666,240.0233729040325,22649.0,23526.0,23539.077777777777,435.0715872330445,22649.0,24422.0
1989-06-12,23400,0,0,6,2,1989,0,23100.0,23359.0,22952.0,22908.0,22713.0,23526.0,23129.571428571428,193.98355354937678,22897.0,23400.0,23078.714285714286,180.68562948753433,22804.0,23400.0,23112.566666666666,233.6328807948574,22649.0,23523.0,23537.533333333333,435.31851182964357,22649.0,24422.0
1989-06-13,23160,0,1,6,2,1989,0,23400.0,23100.0,23359.0,22897.0,22866.0,23119.0,23167.14285714286,164.6880167382148,22952.0,23400.0,23099.714285714286,170.88026783123888,22804.0,23400.0,23113.933333333334,233.79167463028944,22649.0,23523.0,23530.055555555555,435.9658620052263,22649.0,24422.0
1989-06-14,23411,0,2,6,2,1989,0,23160.0,23400.0,23100.0,23023.0,22804.0,23187.0,23222.571428571428,173.16452402548822,22952.0,23411.0,23143.071428571428,167.0409734562064,22897.0,23411.0,23121.4,239.70781064195018,22649.0,23523.0,23525.68888888889,435.1585955096659,22649.0,24422.0
1989-06-15,23263,0,3,6,2,1989,0,23411.0,23160.0,23400.0,23176.0,23174.0,22834.0,23235.0,172.38522751873973,22952.0,23411.0,23149.428571428572,169.97633965927824,22897.0,23411.0,23135.7,234.71569743135686,22649.0,23523.0,23515.0,429.56725023203586,22649.0,24422.0
1989-06-16,23167,0,4,6,2,1989,0,23263.0,23411.0,23160.0,22952.0,23203.0,23414.0,23265.714285714286,126.64348158745129,23100.0,23411.0,23146.85714285714,169.37480383998806,22897.0,23411.0,23127.466666666667,228.87637580645443,22649.0,23523.0,23505.3,427.4303268015329,22649.0,24422.0
1989-06-17,23306,0,5,6,2,1989,1,23167.0,23263.0,23411.0,23359.0,23157.0,23196.0,23258.14285714286,121.6215832976593,23100.0,23411.0,23157.5,174.6599993834471,22897.0,23411.0,23131.133333333335,230.8844663064359,22649.0,23523.0,23497.7,424.78802248291566,22649.0,24422.0
1989-06-18,23210,0,6,6,2,1989,1,23306.0,23167.0,23263.0,23100.0,23083.0,23474.0,23273.85714285714,103.5461709761829,23160.0,23411.0,23166.571428571428,173.78887026671717,22897.0,23411.0,23122.333333333332,222.23478316990153,22649.0,23523.0,23492.433333333334,425.39023855300434,22649.0,24422.0
